날짜,스트레스,취업
2022-07-13,15.30612,39.79591
2022-07-14,28.57142,55.10204
2022-07-15,36.73469,29.59183
2022-07-16,18.36734,20.40816
2022-07-17,11.22448,25.5102
2022-07-18,25.5102,38.77551
2022-07-19,30.61224,51.0204
2022-07-20,26.53061,42.85714
2022-07-21,23.46938,44.89795
2022-07-22,31.63265,34.69387
2022-07-23,19.38775,28.57142
2022-07-24,28.57142,30.61224
2022-07-25,23.46938,31.63265
2022-07-26,27.55102,39.79591
2022-07-27,19.38775,34.69387
2022-07-28,32.65306,32.65306
2022-07-29,25.5102,34.69387
2022-07-30,19.38775,18.36734
2022-07-31,14.28571,24.48979
2022-08-01,25.5102,48.97959
2022-08-02,21.42857,41.83673
2022-08-03,21.42857,23.46938
2022-08-04,17.34693,30.61224
2022-08-05,19.38775,27.55102
2022-08-06,14.28571,23.46938
2022-08-07,24.48979,16.32653
2022-08-08,20.40816,44.89795
2022-08-09,24.48979,33.67346
2022-08-10,22.44897,38.77551
2022-08-11,32.65306,35.71428
2022-08-12,27.55102,25.5102
2022-08-13,22.44897,17.34693
2022-08-14,22.44897,26.53061
2022-08-15,15.30612,23.46938
2022-08-16,24.48979,38.77551
2022-08-17,32.65306,27.55102
2022-08-18,35.71428,24.48979
2022-08-19,23.46938,44.89795
2022-08-20,25.5102,29.59183
2022-08-21,17.34693,33.67346
2022-08-22,30.61224,34.69387
2022-08-23,33.67346,50.0
2022-08-24,25.5102,34.69387
2022-08-25,30.61224,42.85714
2022-08-26,23.46938,23.46938
2022-08-27,23.46938,19.38775
2022-08-28,14.28571,28.57142
2022-08-29,26.53061,41.83673
2022-08-30,27.55102,43.87755
2022-08-31,37.7551,52.04081
2022-09-01,30.61224,39.79591
2022-09-02,28.57142,30.61224
2022-09-03,24.48979,22.44897
2022-09-04,16.32653,21.42857
2022-09-05,21.42857,46.93877
2022-09-06,27.55102,26.53061
2022-09-07,25.5102,38.77551
2022-09-08,22.44897,26.53061
2022-09-09,13.2653,17.34693
2022-09-10,17.34693,15.30612
2022-09-11,13.2653,18.36734
2022-09-12,23.46938,46.93877
2022-09-13,33.67346,47.95918
2022-09-14,44.89795,44.89795
2022-09-15,29.59183,38.77551
2022-09-16,26.53061,38.77551
2022-09-17,11.22448,26.53061
2022-09-18,20.40816,27.55102
2022-09-19,26.53061,43.87755
2022-09-20,26.53061,29.59183
2022-09-21,26.53061,47.95918
2022-09-22,35.71428,30.61224
2022-09-23,26.53061,31.63265
2022-09-24,15.30612,19.38775
2022-09-25,15.30612,23.46938
2022-09-26,43.87755,61.22448
2022-09-27,24.48979,39.79591
2022-09-28,32.65306,37.7551
2022-09-29,20.40816,23.46938
2022-09-30,26.53061,29.59183
2022-10-01,21.42857,16.32653
2022-10-02,12.24489,22.44897
2022-10-03,24.48979,27.55102
2022-10-04,27.55102,56.12244
2022-10-05,27.55102,43.87755
2022-10-06,28.57142,34.69387
2022-10-07,27.55102,46.93877
2022-10-08,21.42857,14.28571
2022-10-09,16.32653,14.28571
2022-10-10,21.42857,30.61224
2022-10-11,28.57142,32.65306
2022-10-12,33.67346,47.95918
2022-10-13,35.71428,46.93877
2022-10-14,30.61224,22.44897
2022-10-15,26.53061,27.55102
2022-10-16,24.48979,26.53061
2022-10-17,28.57142,51.0204
2022-10-18,35.71428,50.0
2022-10-19,38.77551,41.83673
2022-10-20,38.77551,40.81632
